Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Images
116800,Harrier 2.0A Turbo M,Toyota,13830,11-Oct-2018,SUV,70000,https://i.i-sgcm.com/cars_used/202108/1021369_small.jpg
18200,Civic 1.8A VTi-S G (COE till 01/2024),Honda,7500,13-Jan-2009,Sedan,130000,https://i.i-sgcm.com/cars_used/202108/1020417_small.jpg
40800,2 HB 1.5A,Mazda,9740,16-Jul-2015,Hatchback,39000,https://i.i-sgcm.com/cars_used/202108/1019752_small.jpg
7800,Stream 1.8A (COE till 04/2022),Honda,11080,24-Apr-2007,MPV,117000,https://i.i-sgcm.com/cars_used/202108/1019607_small.jpg
54800,Lancer 1.6M (COE till 03/2029),Mitsubishi,7170,19-May-2009,Sedan,131000,https://i.i-sgcm.com/cars_used/202107/1018125_small.jpg
20800,Avante 1.6A S (COE till 01/2025),Hyundai,6070,11-Jan-2010,Sedan,167000,https://i.i-sgcm.com/cars_used/202107/1017987_small.jpg
27800,Fit 1.3A G Skyroof (COE till 07/2025),Honda,7070,16-Jul-2010,Hatchback,132000,https://i.i-sgcm.com/cars_used/202107/1016920_small.jpg
105800,6 2.0A,Mazda,10400,30-Sep-2020,Luxury,9000,https://i.i-sgcm.com/cars_used/202107/1016301_small.jpg
174500,5 Series 530i M-Sport,BMW,21250,04-Oct-2017,Luxury,55360,https://i.i-sgcm.com/cars_used/202107/1016144_small.jpg
18800,Fit 1.3A G (COE till 10/2023),Honda,8520,24-Oct-2008,Hatchback,123000,https://i.i-sgcm.com/cars_used/202107/1015995_small.jpg
109800,Previa 2.4A Aeras Luxury Moonroof,Toyota,15030,28-Jul-2017,MPV,49727,https://i.i-sgcm.com/cars_used/202107/1013173_small.jpg
21800,Wish 1.8A (COE till 01/2024),Toyota,8980,13-Jan-2009,MPV,150000,https://i.i-sgcm.com/cars_used/202107/1013030_small.jpg
76800,Cooper D 1.5A 5DR,MINI,14390,14-Jul-2016,Hatchback,72642,https://i.i-sgcm.com/cars_used/202107/1013019_small.jpg
65800,Odyssey 2.4A EXV-S Sunroof,Honda,14210,06-Mar-2015,MPV,88000,https://i.i-sgcm.com/cars_used/202107/1012822_small.jpg
57800,Corolla Altis 1.6A,Toyota,10170,29-Apr-2016,Sedan,83288,https://i.i-sgcm.com/cars_used/202107/1010913_small.jpg
68888,Accent 1.4A,Hyundai,7510,28-Feb-2020,Sedan,16000,https://i.i-sgcm.com/cars_used/202106/1008814_small.jpg
54800,Shuttle 1.5A G,Honda,9430,10-Jan-2017,Stationwagon,62000,https://i.i-sgcm.com/cars_used/202106/1008254_small.jpg
87699,E-Class E250 CGI Elegance (COE till 08/2030),Mercedes-Benz,9670,26-Oct-2010,Luxury,114000,https://i.i-sgcm.com/cars_used/202106/1007107_small.jpg
123700,Octavia 2.0A TSI RS,Skoda,13010,06-Dec-2019,Sedan,22000,https://i.i-sgcm.com/cars_used/202106/1001737_small.jpg
63900,Wish 1.8A,Toyota,10730,16-Aug-2016,MPV,73000,https://i.i-sgcm.com/cars_used/202106/1001239_small.jpg
71800,Crossland 1.2A X Turbo Enjoy,Opel,7810,11-Jun-2019,SUV,60000,https://i.i-sgcm.com/cars_used/202105/999058_small.jpg
107800,S90 T5 Momentum,Volvo,14970,25-Apr-2017,Luxury,88000,https://i.i-sgcm.com/cars_used/202105/999038_small.jpg
141800,Cooper S Cabriolet 2.0A,MINI,17890,27-Apr-2018,Sports,28000,https://i.i-sgcm.com/cars_used/202105/993396_small.jpg
71800,Scirocco 1.4A TSI (New 10-yr COE),Volkswagen,7180,01-Oct-2011,Sports,102000,https://i.i-sgcm.com/cars_used/202104/991207_small.jpg
80800,Vezel Hybrid 1.5A X Brilliant Style,Honda,10820,27-Mar-2018,SUV,42142,https://i.i-sgcm.com/cars_used/202104/991193_small.jpg
59800,Accent 1.4A (OPC),Hyundai,6140,06-Aug-2020,Sedan,1800,https://i.i-sgcm.com/cars_used/202104/990702_small.jpg
50900,Tivoli 1.6A,Ssangyong,8970,29-Feb-2016,SUV,58299,https://i.i-sgcm.com/cars_used/202104/990387_small.jpg
34800,Galaxy 2.0A Ecoboost Ghia,Ford,19430,28-Sep-2012,MPV,86000,https://i.i-sgcm.com/cars_used/202103/975355_small.jpg
60800,Vezel 1.5A X Sensing,Honda,9470,08-May-2017,SUV,48571,https://i.i-sgcm.com/cars_used/202103/975163_small.jpg
