Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Engine Capacity,Images
176000,Q7 2.0A TFSI Quattro Tip 7-Seater,Audi,21530,12-Dec-2017,SUV,88356,1984,https://i.i-sgcm.com/cars_used/202107/1010300_small.jpg
94800,A7 Sportback 2.8A FSI Quattro S-tronic,Audi,17540,31-Dec-2014,Luxury,97000,2773,https://i.i-sgcm.com/cars_used/202106/1007390_small.jpg
123777,A4 2.0A TFSI S-tronic,Audi,13560,22-Apr-2019,Luxury,41000,1984,https://i.i-sgcm.com/cars_used/202105/997319_small.jpg
189900,A6 Mild Hybrid 2.0A TFSI S-tronic Design,Audi,16970,28-Apr-2021,Luxury,1950,1984,https://i.i-sgcm.com/cars_used/202107/1016246_small.jpg
93800,A3 Sportback 1.0A TFSI S-tronic,Audi,11610,29-Sep-2018,Hatchback,41000,999,https://i.i-sgcm.com/cars_used/202107/1013395_small.jpg
57777,Q3 1.4A TFSI S-Tronic,Audi,14470,30-Sep-2014,SUV,90000,1395,https://i.i-sgcm.com/cars_used/202106/1003413_small.jpg
179777,TT Coupe 2.0A TFSI S-tronic,Audi,18820,30-Aug-2019,Sports,9000,1984,https://i.i-sgcm.com/cars_used/202104/989174_small.jpg
102500,A3 Sedan 1.0A TFSI S-tronic,Audi,11000,25-Nov-2019,Luxury,23000,999,https://i.i-sgcm.com/cars_used/202103/977170_small.jpg
38800,A3 Sportback 1.4A TFSI S-tronic Ambition,Audi,13480,28-Nov-2013,Hatchback,102000,1395,https://i.i-sgcm.com/cars_used/202108/1021682_small.jpg
158800,RS 5 Coupe 4.2A FSI Quattro (New 10-yr COE),Audi,15870,01-Oct-2011,Sports,88755,4163,https://i.i-sgcm.com/cars_used/202108/1021625_small.jpg
193800,Q7 2.0A TFSI Quattro Tip 7-Seater,Audi,23580,05-Feb-2018,SUV,35339,1984,https://i.i-sgcm.com/cars_used/202107/1010702_small.jpg
133800,A5 Sportback 2.0A TFSI S-tronic Design,Audi,16820,28-Mar-2018,Luxury,49000,1984,https://i.i-sgcm.com/cars_used/202105/993293_small.jpg
53800,A4 1.8A TFSI MU,Audi,12990,25-Nov-2014,Luxury,86000,1798,https://i.i-sgcm.com/cars_used/202103/980573_small.jpg
49800,A6 2.0A TFSI MU,Audi,15180,30-Jul-2013,Luxury,196000,1984,https://i.i-sgcm.com/cars_used/202107/1013789_small.jpg
155800,Q3 Sportback 1.4A TFSI S-tronic,Audi,15050,30-Oct-2020,SUV,6700,1395,https://i.i-sgcm.com/cars_used/202108/1022777_small.jpg
84800,A6 1.8A TFSI Ultra S-tronic,Audi,14020,30-Nov-2015,Luxury,110000,1798,https://i.i-sgcm.com/cars_used/202105/997191_small.jpg
73800,A3 Sedan 1.0A TFSI S-tronic,Audi,11590,17-Apr-2017,Luxury,75000,999,https://i.i-sgcm.com/cars_used/202105/992693_small.jpg
88288,A3 Sedan 1.0A TFSI S-tronic,Audi,11560,12-Feb-2018,Luxury,61215,999,https://i.i-sgcm.com/cars_used/202107/1013483_small.jpg
55888,A3 Sportback 1.4A TFSI S-tronic Ambiente,Audi,12590,26-Jun-2015,Hatchback,118000,1395,https://i.i-sgcm.com/cars_used/202106/1003920_small.jpg
73800,A3 Sedan 1.4A TFSI S-tronic Ambiente,Audi,11500,13-Dec-2016,Luxury,63000,1395,https://i.i-sgcm.com/cars_used/202101/964793_small.jpg
110800,Q5 2.0A TFSI Quattro,Audi,16050,29-Mar-2017,SUV,71300,1984,https://i.i-sgcm.com/cars_used/202012/954579_small.jpg
105800,A4 2.0A TFSI S-tronic,Audi,12770,26-May-2018,Luxury,62313,1984,https://i.i-sgcm.com/cars_used/202107/1014634_small.jpg
89888,TT Coupe 2.0A TFSI S-tronic (New 10-yr COE),Audi,8980,30-Jun-2011,Sports,115770,1984,https://i.i-sgcm.com/cars_used/202104/986417_small.jpg
88000,S5 Coupe 4.2A FSI Quattro (COE till 09/2029),Audi,10870,19-Sep-2009,Sports,44000,4163,https://i.i-sgcm.com/cars_used/202105/994332_small.jpg
209999,TT Coupe 2.0A TFSI S-tronic,Audi,19470,30-Jan-2021,Sports,1000,1984,https://i.i-sgcm.com/cars_used/202107/1013493_small.jpg
91999,A3 Sedan 1.0A TFSI S-tronic,Audi,12190,30-Jan-2018,Luxury,37500,999,https://i.i-sgcm.com/cars_used/202106/1008518_small.jpg
151999,A4 Mild Hybrid 2.0A TFSI S-tronic,Audi,14240,13-Nov-2020,Luxury,7000,1984,https://i.i-sgcm.com/cars_used/202107/1018680_small.jpg
151999,A4 Mild Hybrid 2.0A TFSI S-tronic,Audi,14050,29-Dec-2020,Luxury,7000,1984,https://i.i-sgcm.com/cars_used/202107/1018832_small.jpg
81999,A3 Sportback 1.0A TFSI S-tronic,Audi,11730,11-Dec-2017,Hatchback,68000,999,https://i.i-sgcm.com/cars_used/202107/1018776_small.jpg
373999,Q8 Mild Hybrid 3.0A TFSI Quattro Tip S-Line,Audi,33950,30-Jan-2021,SUV,560,2995,https://i.i-sgcm.com/cars_used/202107/1015779_small.jpg
